index,genres,keywords,original_title,title,cast,director
0,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Avatar,Avatar,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,Action Adventure Crime,spy based on novel secret agent sequel mi6,Spectre,Spectre,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,The Dark Knight Rises,The Dark Knight Rises,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,Action Adventure Science Fiction,based on novel mars medallion space travel princess,John Carter,John Carter,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,Spider-Man 3,Spider-Man 3,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,Animation Family,hostage magic horse fairy tale musical,Tangled,Tangled,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,Avengers: Age of Ultron,Avengers: Age of Ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
10,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,Superman Returns,Superman Returns,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
11,Adventure Action Thriller Crime,killing undercover secret agent british secret service,Quantum of Solace,Quantum of Solace,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
13,Action Adventure Western,texas horse survivor texas ranger partner,The Lone Ranger,The Lone Ranger,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,Man of Steel,Man of Steel,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
15,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
16,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,The Avengers,The Avengers,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
17,Adventure Action Fantasy,sea captain mutiny sword prime minister,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
18,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,Men in Black 3,Men in Black 3,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
19,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
20,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,The Amazing Spider-Man,The Amazing Spider-Man,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
21,Action Adventure,robin hood archer knight sherwood forest bow and arrow,Robin Hood,Robin Hood,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
22,Adventure Fantasy,elves dwarves orcs hobbit dragon,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
23,Adventure Fantasy,england compass experiment lordship uncle,The Golden Compass,The Golden Compass,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
24,Adventure Drama Action,film business screenplay show business film making film producer,King Kong,King Kong,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
25,Drama Romance Thriller,shipwreck iceberg ship panic titanic,Titanic,Titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
26,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Captain America: Civil War,Captain America: Civil War,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
27,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,Battleship,Battleship,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
28,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,Jurassic World,Jurassic World,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,
29,Action Adventure Thriller,spy secret agent sociopath killer art gallery,Skyfall,Skyfall,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
